,Article no:,Unnamed: 0.1.1,authors,first_names,Genders (Gulce) Female:0 Male:1,Male Auhtors,Female Authors,Male auth,last_names,genders,Old race/ethnicities,"True Author races (asian, black, hispanic, white)",title,abstracts,keywords,url,ai_healthcare_fairness,Research paper(1) or opinion piece? (0),Country focus of paper (if relevent),Income of focus country (See user guide),Year,Citations,"Funding (yes =1, 0 = no)",If so funder,Journal name,"Topic, remember to seperate by comma (gender, race, working conditions, social media, health conditions, disabilities, psychological, etc. keywords from the paper)","First author - gender (1 male, 0 female)","First author - race  (asian, black, white, hispanic)",First author - country,First author - country income level cf. User guide,First author - institution,First author - highest level of education,"First author - Minority serving university? Cf. User guide (1: yes, 0:no)","Last author - gender (1 male, 0 female)","Last author - race  (asian, black, white, hispanic)",Last author - country,Last author - country income level cf. User guide,Last author - institution,Last author - highest level of education,"Last author - Minority serving university? (1: yes, 0:no cf. userguide)",weq,Author countries,Author country income levels,income levels,Contries count,Authors gender count,"Match? AT AV (0=no, 1=yes)","Match? AT AV2 (0=no, 1=yes)",Author institutions,Author education levels,"Minority serving institutions (1: yes, 0: no)",Countries,Unique countries,COUNT 1,COUNT 2,Mistake,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,"True Author races (asian, black, hispanic, white)",White,black,hispanic,asian,blank -,SUM,Countries,mistakes,white auth,Average income level
38,39,825,"['Julia L Marcus', 'Whitney C Sewell', 'Laura B Balzer', 'Douglas S Krakower', ' ']","['Julia L', 'Whitney C', 'Laura B', 'Douglas S', '']","['0', '0', '0', '1']",1,3,25%,"['Marcus', 'Sewell', 'Balzer', 'Krakower', '']","['female', 'female', 'female', 'male']","['white', 'white', 'white', 'white']","white, white,  white, white",Artificial Intelligence and Machine Learning for HIV Prevention: Emerging Approaches to Ending the Epidemic.,"We review applications of artificial intelligence (AI), including machine learning (ML), in the field of HIV prevention.,ML approaches have been used to identify potential candidates for preexposure prophylaxis (PrEP) in healthcare settings in the USA and Denmark and in a population-based research setting in Eastern Africa. Although still in the proof-of-concept stage, other applications include ML with smartphone-collected and social media data to promote real-time HIV risk reduction, virtual reality tools to facilitate HIV serodisclosure, and chatbots for HIV education. ML has also been used for causal inference in HIV prevention studies. ML has strong potential to improve delivery of PrEP, with this approach moving from development to implementation. Development and evaluation of AI and ML strategies for HIV prevention may benefit from an implementation science approach, including qualitative assessments with end users, and should be developed and evaluated with attention to equity.",,https://pubmed.ncbi.nlm.nih.gov/32347446/,1,1,USA,4,2020,31,1,Gilead Sciences;,Current HIV/AIDS,"social media, race, gender",0,white,USA,4,Harvard Medical School and Harvard Pilgrim Health Care Institute,PhD,0,1,white,USA,4,"Beth Israel Deaconess Medical Center, Division of Infectious Diseases,",MD,0,,"USA, USA, USA, USA","4, 4, 4, 4",4,4,4,1,1,"Harvard Medical School and Harvard Pilgrim Health Care Institute, Harvard Medical School and Harvard Pilgrim Health Care Institute, University of Massachusetts Amherst, University of Massachusetts Amherst, Beth Israel Deaconess Medical Center, Division of Infectious Diseases, ","PhD, PhD, PhD, MD",0,Brazil,10,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white,  white, white",4,0,0,0,0,4,4,0,100%,
39,40,852,"['Trevor D Hadley', 'Rowland W Pettit', 'Tahir Malik', 'Amelia A Khoei', 'Hamisu M Salihu']","['Trevor D', 'Rowland W', 'Tahir', 'Amelia A', 'Hamisu M']","['1', '1', '1', '0', '1']",4,1,80%,"['Hadley', 'Pettit', 'Malik', 'Khoei', 'Salihu']","['male', 'male', 'male', 'female', 'male']","['white', 'white', 'white', 'white', 'black']","white, white,  white, white, black",Artificial Intelligence in Global Health -A Framework and Strategy for Adoption and Sustainability.,"Artificial Intelligence (AI) applications in medicine have grown considerably in recent years. AI in the forms of Machine Learning, Natural Language Processing, Expert Systems, Planning and Logistics methods, and Image Processing networks provide great analytical aptitude. While AI methods were first conceptualized for radiology, investigations today are established across all medical specialties. The necessity for proper infrastructure, skilled labor, and access to large, well-organized data sets has kept the majority of medical AI applications in higher-income countries. However, critical technological improvements, such as cloud computing and the near-ubiquity of smartphones, have paved the way for use of medical AI applications in resource-poor areas. Global health initiatives (GHI) have already begun to explore ways to leverage medical AI technologies to detect and mitigate public health inequities. For example, AI tools can help optimize vaccine delivery and community healthcare worker routes, thus enabling limited resources to have a maximal impact. Other promising AI tools have demonstrated an ability to: predict burn healing time from smartphone photos; track regions of socioeconomic disparity combined with environmental trends to predict communicable disease outbreaks; and accurately predict pregnancy complications such as birth asphyxia in low resource settings with limited patient clinical data. In this commentary, we discuss the current state of AI-driven GHI and explore relevant lessons from past technology-centered GHI. Additionally, we propose a conceptual framework to guide the development of sustainable strategies for AI-driven GHI, and we outline areas for future research.",,https://pubmed.ncbi.nlm.nih.gov/32123635/,1,0,USA,4,2020,12,0,,"
The International Journal of Maternal and Child Health","working conditions, ",1,white,USA,4,"Baylor College of Medicine, Houston",BSA,0,1,Black,Niger,1,"Center of Excellence in Health Equity, Training and Research Baylor College of Medicine,",PhD,0,,"USA, USA, USA, USA, Niger","4, 4 ,4 , 4, 1",5,5,5,1,1,"Baylor College of Medicine, Houston, TX 77098, USA, Center of Excellence in Health Equity, Training and Research Baylor College of Medicine,","BSA, BS, BS, BS, PhD",0,Brunei,0,5,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,USA,USA,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white,  white, white, black",4,1,0,0,0,5,5,0,80%,
40,41,754,"['Daniel J Mollura', 'Melissa P Culp', 'Erica Pollack', 'Gillian Battino', 'John R Scheel', 'Victoria L Mango', 'Ameena Elahi', 'Alan Schweitzer', 'Farouk Dako']","['Daniel J', 'Melissa P', 'Erica', 'Gillian', 'John R', 'Victoria L', 'Ameena', 'Alan', 'Farouk']","['1', '0', '0', '0', '1', '0', '0', '1', '1']",4,5,44%,"['Mollura', 'Culp', 'Pollack', 'Battino', 'Scheel', 'Mango', 'Elahi', 'Schweitzer', 'Dako']","['male', 'female', 'female', 'female', 'male', 'female', 'female', 'male', 'male']","['white', 'white', 'white', 'white', 'white', 'white', 'black', 'white', 'black']","white,  white, white, white, white, white, black, white, black ",Artificial Intelligence in Low- and Middle-Income Countries: Innovating Global Health Radiology.,"Scarce or absent radiology resources impede adoption of artificial intelligence (AI) for medical imaging by resource-poor health institutions. They face limitations in local equipment, personnel expertise, infrastructure, data-rights frameworks, and public policies. The trustworthiness of AI for medical decision making in global health and low-resource settings is hampered by insufficient data diversity, nontransparent AI algorithms, and resource-poor health institutions' limited participation in AI production and validation. RAD-AID's three-pronged integrated strategy for AI adoption in resource-poor health institutions is presented, which includes clinical radiology education, infrastructure implementation, and phased AI introduction. This strategy derives from RAD-AID's more-than-a-decade experience as a nonprofit organization developing radiology in resource-poor health institutions, both in the United States and in low- and middle-income countries. The three components synergistically provide the foundation to address health care disparities. Local radiology personnel expertise is augmented through comprehensive education. Software, hardware, and radiologic and networking infrastructure enables radiology workflows incorporating AI. These educational and infrastructure developments occur while RAD-AID delivers phased introduction, testing, and scaling of AI via global health collaborations.",,https://pubs.rsna.org/doi/full/10.1148/radiol.2020201434,1,0,USA,4,2020,33,0,,Radiology,"race, working conditions, social media,",1,white,USA,4,Denver Halth and hospital authority Denver CO,MD,0,1,Black,USA,4,UPenn. Perelman School of Medicine PA,MD,1,,"USA, USA, USA,USA,USA, USA, USA, USA, USA","4,4,4,4,4,4,4,4,4",9,9,9,1,1,"Department of Radiology and Medical Imaging, Denver Health and Hospital Authority, Denver, Colo (E.P.); Departments of Radiology and Global Health, University of Washington, Seattle, Wash (J.R.S.); Fred Hutchinson Cancer Research Center, Seattle, Wash (J.R.S.); Department of Radiology, Memorial Sloan-Kettering Cancer Center, New York, NY (V.L.M.); Department of Radiology, University of Pennsylvania Health System, Philadelphia, Pa (A.E.); and Department of Diagnostic Radiology and Nuclear Medicine, University of Maryland School of Medicine, Baltimore, Md (F.D.).","MD, MD, MD,MD,MD, MD, MD, MPA, MD, MD",1,Bulgaria,0,9,9,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,USA,USA,USA,USA,USA,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white,  white, white, white, white, white, black, white, black ",7,2,0,0,0,9,9,0,78%,
41,42,751,"['Isabel Straw', 'Chris Callison-Burch']","['Isabel', 'Chris']","['0', '1']",1,1,50%,"['Straw', 'Callison-Burch']","['female', 'male']","['white', 'white']","white, white",Artificial Intelligence in mental health and the biases of language based models.,"The rapid integration of Artificial Intelligence (AI) into the healthcare field has occurred with little communication between computer scientists and doctors. The impact of AI on health outcomes and inequalities calls for health professionals and data scientists to make a collaborative effort to ensure historic health disparities are not encoded into the future. We present a study that evaluates bias in existing Natural Language Processing (NLP) models used in psychiatry and discuss how these biases may widen health inequalities. Our approach systematically evaluates each stage of model development to explore how biases arise from a clinical, data science and linguistic perspective.,A literature review of the uses of NLP in mental health was carried out across multiple disciplinary databases with defined Mesh terms and keywords. Our primary analysis evaluated biases within 'GloVe' and 'Word2Vec' word embeddings. Euclidean distances were measured to assess relationships between psychiatric terms and demographic labels, and vector similarity functions were used to solve analogy questions relating to mental health.,Our primary analysis of mental health terminology in GloVe and Word2Vec embeddings demonstrated significant biases with respect to religion, race, gender, nationality, sexuality and age. Our literature review returned 52 papers, of which none addressed all the areas of possible bias that we identify in model development. In addition, only one article existed on more than one research database, demonstrating the isolation of research within disciplinary silos and inhibiting cross-disciplinary collaboration or communication.,Our findings are relevant to professionals who wish to minimize the health inequalities that may arise as a result of AI and data-driven algorithms. We offer primary research identifying biases within these technologies and provide recommendations for avoiding these harms in the future.",,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240376,1,1,USA,4,2020,15,0,-,PLOS ONE,"race, gender",0,white,UK,4,"University of Pennsylvania, Philadelphia",PhD,0,1,white,USA,4,"University of Pennsylvania, Philadelphia, Pennsylvania",PhD,0,,"United Kingdom, USA","4,4",2,2,2,1,1,"University of Pennsylvania, Philadelphia, Pennsylvania, United States of America","PhD, PhD",0,Burkina Faso,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white",2,0,0,0,0,2,2,0,100%,
42,43,760,"['D C Murphy', 'D B Saleh']","['D C', 'D B']","['1', '1']",2,0,100%,"['Murphy', 'Saleh']","['male', 'male']","['white', 'white']","white, white",Artificial Intelligence in plastic surgery: What is it? Where are we now? What is on the horizon?,"An increasing quantity of data is required to guide precision medicine and advance future healthcare practices, but current analytical methods often become overwhelmed. Artificial intelligence (AI) provides a promising solution. Plastic surgery is an innovative surgical specialty expected to implement AI into current and future practices. It is important for all plastic surgeons to understand how AI may affect current and future practice, and to recognise its potential limitations.,Peer-reviewed published literature and online content were comprehensively reviewed. We report current applications of AI in plastic surgery and possible future applications based on published literature and continuing scientific studies, and detail its potential limitations and ethical considerations.,Current machine learning models using convolutional neural networks can evaluate breast mammography and differentiate benign and malignant tumours as accurately as specialist doctors, and motion sensor surgical instruments can collate real-time data to advise intraoperative technical adjustments. Centralised big data portals are expected to collate large datasets to accelerate understanding of disease pathogeneses and best practices. Information obtained using computer vision could guide intraoperative surgical decisions in unprecedented detail and semi-autonomous surgical systems guided by AI algorithms may enable improved surgical outcomes in low- and middle-income countries. Surgeons must collaborate with computer scientists to ensure that AI algorithms inform clinically relevant health objectives and are interpretable. Ethical concerns such as systematic biases causing non-representative conclusions for under-represented patient groups, patient confidentiality and the limitations of AI based on the quality of data input suggests that AI will accompany the plastic surgeon, rather than replace them.",,https://pubmed.ncbi.nlm.nih.gov/32777930/,1,1,LMIC,2,2020,4,0,,Annals of the Royal College of Surgeons of England,"Artificial intelligence, Plastic surgery, Big data, Machine learning, Technology",1,white,UK,4,"Newcastle upon Tyne, UK",MBBS,0,1,White,Australia,4,"Southside Clinical School, University of Queensland, Brisbane, Queensland, Australia",MD,0,,"United Kingdom, Australia","4,4",2,2,2,1,1,"Newcastle upon Tyne Hospitals NHS Foundation Trust, Newcastle upon Tyne, UK.","MD,MD",0,Burundi,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UK,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white",2,0,0,0,0,2,2,0,100%,
44,45,890,"['Michael Feehan', 'Leah A Owen', 'Ian M McKinnon', 'Margaret M DeAngelis']","['Michael', 'Leah A', 'Ian M', 'Margaret M']","['1', '0', '1', '0']",2,2,50%,"['Feehan', 'Owen', 'McKinnon', 'DeAngelis']","['male', 'female', 'male', 'female']","['white', 'white', 'white', 'white']","white, white, white,white","Artificial Intelligence, Heuristic Biases, and the Optimization of Health Outcomes: Cautionary Optimism.","The use of artificial intelligence (AI) and machine learning (ML) in clinical care offers great promise to improve patient health outcomes and reduce health inequity across patient populations. However, inherent biases in these applications, and the subsequent potential risk of harm can limit current use. Multi-modal workflows designed to minimize these limitations in the development, implementation, and evaluation of ML systems in real-world settings are needed to improve efficacy while reducing bias and the risk of potential harms. Comprehensive consideration of rapidly evolving AI technologies and the inherent risks of bias, the expanding volume and nature of data sources, and the evolving regulatory landscapes, can contribute meaningfully to the development of AI-enhanced clinical decision making and the reduction in health inequity.",,https://pubmed.ncbi.nlm.nih.gov/34830566/,1,0,USA,4,2021,1,0,-,Journal of Clinical Medicine,"health inequity, health conditions",1,white,USA,4,"Cerner Enviza, Kansas City,",PhD,0,0,white,USA,4,"University of Utah School of Medicine, Salt Lake, ",PhD,0,,"USA, USA, Australia, USA","4,4,4,4",4,4,4,1,1,"Cerner Enviza, Kansas City,  University of Utah School of Medicine, Salt Lake City, Eye Institute, Jacobs School of Medicine and Biomedical Sciences, State University of New York at Buffalo, Buffalo, NY, University of Utah School of Medicine, Salt Lake City,","PhD, PhD, PhD",0,Cabo Verde,0,4,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,Australia,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white, white,white",4,0,0,0,0,4,4,0,100%,
45,46,767,"['Vida Abedi', 'Seyed-Mostafa Razavi', 'Ayesha Khan', 'Venkatesh Avula', 'Aparna Tompe', 'Asma Poursoroush', 'Alireza Vafaei Sadr', 'Jiang Li', 'Ramin Zand']","['Vida', 'Seyed-Mostafa', 'Ayesha', 'Venkatesh', 'Aparna', 'Asma', 'Alireza', 'Jiang', 'Ramin']","['0', '1', '0', '1', '0', '0', '1', '1', '1']",5,4,56%,"['Abedi', 'Razavi', 'Khan', 'Avula', 'Tompe', 'Poursoroush', 'Vafaei Sadr', 'Li', 'Zand']","['female', 'male', 'female', 'male', 'female', 'female', 'male', 'male', 'male']","['white', 'white', 'asian', 'white', 'white', 'white', 'white', 'asian', 'white']","white, white, asian, white, white, white, white, asian, white",Artificial Intelligence: A Shifting Paradigm in Cardio-Cerebrovascular Medicine.,"The future of healthcare is an organic blend of technology, innovation, and human connection. As artificial intelligence (AI) is gradually becoming a go-to technology in healthcare to improve efficiency and outcomes, we must understand our limitations. We should realize that our goal is not only to provide faster and more efficient care, but also to deliver an integrated solution to ensure that the care is fair and not biased to a group of sub-population. In this context, the field of cardio-cerebrovascular diseases, which encompasses a wide range of conditions-from heart failure to stroke-has made some advances to provide assistive tools to care providers. This article aimed to provide an overall thematic review of recent development focusing on various AI applications in cardio-cerebrovascular diseases to identify gaps and potential areas of improvement. If well designed, technological engines have the potential to improve healthcare access and equitability while reducing overall costs, diagnostic errors, and disparity in a system that affects patients and providers and strives for efficiency.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8658222/,1,1,USA,4,2021,1,0,-,Journal of Clinical Medicine,health conditions,0,white,Canada,4,"Pennsylvania State University, Hershey, ",PhD,0,1,white,USA,4,University of Geneva,"MD, MPH",0,,"Canada, Iran, USA, India, India , India, Iran, China, USA","4, 2, 4, 2,2, 2, 2,4,3",9,9,9,1,1,"College of Medicine, The Pennsylvania State University, Hershey, Saint Mary's Regional Medical Center, Reno, NV, Geisinger Neuroscience Institute, Geisinger Health System, Danville, PA , Geisinger Health System, Danville, PA, Geisinger Health System, Danville, PA, University of Memphis, Memphis, University of Tennessee Health Science Center, Memphis, University of Geneva,","PhD, PhD, PhD, PhD, MD, MD, PhD, PhD, ",0,Cambodia,0,9,9,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,Iran,USA,India,India,India,Iran,China,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white, asian, white, white, white, white, asian, white",7,0,0,2,0,9,9,0,78%,
46,47,795,"['J Eric T Taylor', 'Graham W Taylor']","['J Eric T', 'Graham W']","['1', '1']",2,0,100%,"['Taylor', 'Taylor']","['male', 'male']","['white', 'white']","white, white",Artificial cognition: How experimental psychology can help generate explainable artificial intelligence.,"Artificial intelligence powered by deep neural networks has reached a level of complexity where it can be difficult or impossible to express how a model makes its decisions. This black-box problem is especially concerning when the model makes decisions with consequences for human well-being. In response, an emerging field called explainable artificial intelligence (XAI) aims to increase the interpretability, fairness, and transparency of machine learning. In this paper, we describe how cognitive psychologists can make contributions to XAI. The human mind is also a black box, and cognitive psychologists have over 150 years of experience modeling it through experimentation. We ought to translate the methods and rigor of cognitive psychology to the study of artificial black boxes in the service of explainability. We provide a review of XAI for psychologists, arguing that current methods possess a blind spot that can be complemented by the experimental cognitive tradition. We also provide a framework for research in XAI, highlight exemplary cases of experimentation within XAI inspired by psychological science, and provide a tutorial on experimenting with machines. We end by noting the advantages of an experimental approach and invite other psychologists to conduct research in this exciting new field.",,https://link.springer.com/article/10.3758/s13423-020-01825-5,1,1,Canada,4,2021,23,0,-,Psychonomic Bulletin & Review,"psychological, ",1,white,Canada,4,"The Vector Institute for Artificial Intelligence, Toronto, ON, Canada,
The School of Engineering, The University of Guelph, Guelph, ON, Canada.",PhD,0,1,white,Canada,4,"The Vector Institute for Artificial Intelligence, Toronto, ON, Canada
The School of Engineering, The University of Guelph, Guelph, ON, Canada",PhD,0,,"Canada, Canada","4,4",2,2,2,1,1,"The Vector Institute for Artificial Intelligence, Toronto, ON, Canada
The School of Engineering, The University of Guelph, Guelph, ON, Canada","Phd, PhD",0,Cameroon,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white",2,0,0,0,0,2,2,0,100%,
47,48,844,"['Tyler J Loftus', 'Amalia Cochran']","['Tyler J', 'Amalia']","['1', '0']",1,1,50%,"['Loftus', 'Cochran']","['male', 'female']","['white', 'white']","white, white",Artificial intelligence and gender bias in hiring surgeons and beyond.,,"Artificial Intelligence, Female, Personel Selection, Surgeons, Sexism, Males",https://pubmed.ncbi.nlm.nih.gov/34657722/,1,0,USA,4,2021,1,0,,American Journal of Surgery,"Personel Selection, sexism",1,white,USA,4,Univ of Florida Gainesville FL,MD,0,0,White,USA,4,Univ of Florida Gainesville FL,MD,0,,"USA, USA","4,4",2,2,2,1,1,Univ of Florida Gainesville FL,"MD, MD",0,Canada,142,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white",2,0,0,0,0,2,2,0,100%,
48,49,785,"['Kathleen Murphy', 'Erica Di Ruggiero', 'Ross Upshur', 'Donald J Willison', 'Neha Malhotra', 'Jia Ce Cai', 'Nakul Malhotra', 'Vincci Lui', 'Jennifer Gibson']","['Kathleen', 'Erica', 'Ross', 'Donald J', 'Neha', 'Jia Ce', 'Nakul', 'Vincci', 'Jennifer']","['0', '0', '1', '1', '0', '0', '1', '0', '0']",3,6,33%,"['Murphy', 'Di Ruggiero', 'Upshur', 'Willison', 'Malhotra', 'Cai', 'Malhotra', 'Lui', 'Gibson']","['female', 'female', 'male', 'male', 'female', 'female', 'male', 'female', 'female']","['white', 'white', 'white', 'white', 'asian', 'asian', 'asian', 'asian', 'white']","white, white, white, white, white, asian, asian, asian, white",Artificial intelligence for good health: a scoping review of the ethics literature.,"Artificial intelligence (AI) has been described as the ""fourth industrial revolution"" with transformative and global implications, including in healthcare, public health, and global health. AI approaches hold promise for improving health systems worldwide, as well as individual and population health outcomes. While AI may have potential for advancing health equity within and between countries, we must consider the ethical implications of its deployment in order to mitigate its potential harms, particularly for the most vulnerable. This scoping review addresses the following question: What ethical issues have been identified in relation to AI in the field of health, including from a global health perspective?,Eight electronic databases were searched for peer reviewed and grey literature published before April 2018 using the concepts of health, ethics, and AI, and their related terms. Records were independently screened by two reviewers and were included if they reported on AI in relation to health and ethics and were written in the English language. Data was charted on a piloted data charting form, and a descriptive and thematic analysis was performed.,Upon reviewing 12,722 articles, 103 met the predetermined inclusion criteria. The literature was primarily focused on the ethics of AI in health care, particularly on carer robots, diagnostics, and precision medicine, but was largely silent on ethics of AI in public and population health. The literature highlighted a number of common ethical concerns related to privacy, trust, accountability and responsibility, and bias. Largely missing from the literature was the ethics of AI in global health, particularly in the context of low- and middle-income countries (LMICs).,The ethical issues surrounding AI in the field of health are both vast and complex. While AI holds the potential to improve health and health systems, our analysis suggests that its introduction should be approached with cautious optimism. The dearth of literature on the ethics of AI within LMICs, as well as in public health, also points to a critical need for further research into the ethical implications of AI within both global and public health, to ensure that its development and implementation is ethical for everyone, everywhere.",,https://bmcmedethics.biomedcentral.com/articles/10.1186/s12910-021-00577-8,1,1,Canada,4,2021,37,0,-,BMC Medical Ethics,"Ethics;  health conditions, Public and population health.",0,white,Canada,4,"Dalla Lana School of Public Health, University of Toronto","PhD,",0,0,white,Canada,4,"Dalla Lana School of Public Health, University of Toronto,",PhD,0,,"Canada, Canada, Canada, Canada, Canada, Canada, Pakistani, Canada, Canada","4, 4, 4, 4, 4, 4, 2, 4, 4",9,9,9,1,1,"Joint Centre for Bioethics, Dalla Lana School of Public Health, University of Toronto, Bridgepoint Collaboratory for Research and Innovation, Lunenfeld Tanenbaum Research Institute, Sinai Health System, 1 Bridgepoint Drive, Toronto, Gerstein Science Information Centre, University of Toronto, ","PhD, PhD, MD, MSc, MPH, PhD, MSc, MISt, PhD",0,Central African Republic,0,9,9,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Canada,Canada,Canada,Canada,Canada,Canada,Pakistan,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white, white, white, white, asian, asian, asian, white",6,0,0,3,0,9,9,0,67%,
49,50,1071,"['Hassane Alami', 'Lysanne Rivard', 'Pascale Lehoux', 'Steven J Hoffman', 'St√©phanie Bernadette Mafalda Cadeddu', 'Mathilde Savoldelli', 'Mamane Abdoulaye Samri', 'Mohamed Ali Ag Ahmed', 'Richard Fleet', 'Jean-Paul Fortin']","['Hassane', 'Lysanne', 'Pascale', 'Steven J', 'St√©phanie Bernadette Mafalda', 'Mathilde', 'Mamane Abdoulaye', 'Mohamed Ali', 'Richard', 'Jean-Paul']","['1', '0', '0', '1', '0', '0', '1', '1', '1', '1']",6,4,60%,"['Alami', 'Rivard', 'Lehoux', 'Hoffman', 'Cadeddu', 'Savoldelli', 'Samri', 'Ag Ahmed', 'Fleet', 'Fortin']","['male', 'female', 'female', 'male', 'female', 'female', 'male', 'male', 'male', 'male']","['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","white, white, white, white, white, white, white, white, white, white","Artificial intelligence in health care: laying the Foundation for Responsible, sustainable, and inclusive innovation in low- and middle-income countries.","The World Health Organization and other institutions are considering Artificial Intelligence (AI) as a technology that can potentially address some health system gaps, especially the reduction of global health inequalities in low- and middle-income countries (LMICs). However, because most AI-based health applications are developed and implemented in high-income countries, their use in LMICs contexts is recent and there is a lack of robust local evaluations to guide decision-making in low-resource settings. After discussing the potential benefits as well as the risks and challenges raised by AI-based health care, we propose five building blocks to guide the development and implementation of more responsible, sustainable, and inclusive AI health care technologies in LMICs.",,https://globalizationandhealth.biomedcentral.com/articles/10.1186/s12992-020-00584-1,1,0,Canada,4,2020,39,0,-,Global Health,"health conditions, Low- and middle-income countries, ",1,white,France,4,"Center for Public Health Research, Université de Montréal, Montreal, Quebec, Canada",M.C.A,0,1,white,Canada,4,"Université Laval, Quebec, Quebec, Canada",MPH,0,,"France, Canada, Canada, Canada, Canada, France, south africa, south africa, Canada, Canada","4, 4,4, 4,4,4,3 , 3, 4, 4",10,10,10,1,1,"Université de Montréal, Montreal, Quebec,  Dahdaleh Institute for Global Health Research, Faculty of Health and Osgoode Hall Law School, York University, Toronto,  Université de Montréal, Montreal, School for Advanced Studies in Public Health, Rennes, France, Université Laval, Quebec, Quebec, Université de Sherbrooke, Chicoutimi, Quebec, ","M.C.A, PhD, PhD, PhD, PhD, MPS, MPS, MD, MD, MPH",0,Chad,0,10,10,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,France,Canada,Canada,Canada,Canada,France,south africa,south africa,Canada,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, white, white, white, white, white, white, white, white, white",10,0,0,0,0,10,10,0,100%,
51,52,973,"['Ziad Obermeyer', 'Eric J Topol']","['Ziad', 'Eric J']","['1', '1']",2,0,100%,"['Obermeyer', 'Topol']","['male', 'male']","['white', 'white']","white,  white","Artificial intelligence, bias, and patients' perspectives.",,,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01152-1/fulltext,1,0,USA,4,2021,4,0,-,The Lancet,health conditions,1,white,USA,4,"UC Berkeley School of Public Health, Berkeley",MD,0,1,white,USA,4,"Scripps Research Translational Institute, La Jolla,",MD,0,,"USA, USA","4, 4",2,2,2,1,1,"UC Berkeley School of Public Health, Berkeley, Scripps Research Translational Institute, La Jolla, CA, USA.","MD, MD",0,Channel Islands,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white,  white",2,0,0,0,0,2,2,0,100%,
